scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,3,rightward,"The image is blurry and the details are not clear, making it difficult to accurately determine the camera movement. However, based on the available information, it appears that the camera has moved to the right, as the right side of the image is more in focus compared to the left side. This suggests that the camera has moved to the right during the transition from the source image to the target image.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,3,rightward,"The target image appears to be a continuation of the source image with a slight rotation. The position of the objects and the layout of the room have not changed significantly, indicating that the camera has rotated rightward. The red cabinets and the blue couch are still in the same relative positions, and the white trash bin and the white paper towels dispenser are still on the wall, but they are now slightly rotated to the right. Therefore, the main camera movement from the source image to the target image is rightward.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The sign 'BEING HUMAN' and the red counter are now on the left side of the image, whereas in the source image, they were on the right side. The TV screen and the wall outlet also appear to be in a different position relative to the objects in the room.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,3,rightward,"The staircase in both images appears to be in the same position relative to the camera, with no noticeable difference in the angle or perspective. This suggests that there has been no significant movement of the camera, either leftward or rightward, between the two images. Therefore, the main camera movement is likely to be no movement.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved leftward to capture the target image. The leftward movement of the camera would cause the right side of the image to be blurred, as seen in the source image, while the left side of the image would be clear, as seen in the target image.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The chair and desk in the source image are positioned to the right, but in the target image, they are on the left side, indicating a leftward rotation.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chessboard and the chair, which are rotated to the left in the target image compared to the source image.",None
office,seq-08,000710-000724,phi,rightward,17.975933,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The desk and chair are positioned in the same relative location, but the angle of the room has changed, making it appear as if the camera has moved to the left. The shelves and the window also appear to be in a different position, further supporting the leftward rotation.",None
office,seq-04,000691-000717,phi,rightward,15.378286,3,leftward,"The position of the objects in the image has not changed significantly between the source image and the target image. The mannequins, the chair, the papers, and the backpack are all in the same locations. The only noticeable difference is the lighting, which appears to be brighter in the target image. However, this is likely due to the camera settings or the time of day rather than a camera movement. Therefore, the main camera movement is likely to be leftward rotation.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The red cabinets and the counter are aligned in the same direction, and the angle of the camera has changed to capture the left side of the room, which is not visible in the source image.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,rightward,"The target image is rotated to the right compared to the source image. This can be inferred from the position of the chair and the desk, which appear to be in a different orientation in the target image. The right side of the chair and desk in the source image is now on the left side in the target image, and vice versa. This indicates a rightward rotation of the camera.",None
office,seq-07,000236-000279,phi,leftward,27.607591,3,rightward,"The image1 and image2 are very similar, with only slight differences in the position of objects and the angle of the camera. The main difference is that the chair in image1 is slightly more to the left compared to the chair in image2. However, the overall layout and position of the objects in the room remain the same. Therefore, it is likely that there was no significant camera movement, and the main camera movement from image1 to image2 is likely to be no movement.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the counter and cabinets. The left side of the counter in the source image is now on the right side in the target image, and vice versa. The chairs and tables have also been rotated to align with this change in orientation.",None
office,seq-07,000145-000189,phi,leftward,21.816486,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The desk and chair in the source image are now on the right side in the target image, and the wall and bookshelf are now on the left side. The rotation direction is consistent with the camera moving from the right to the left side of the room.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a blurry state to a clear state. This suggests that the camera moved to the left to capture the target image, as the left side of the target image is more in focus than the right side.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,rightward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The chair and the desk in the source image are positioned to the right, but in the target image, they appear to be on the left side. This indicates that the camera has moved to the left, resulting in a leftward rotation of the scene.",None
chess,seq-02,000690-000707,phi,rightward,15.004958,0,leftward,"The position of the chessboard and the chairs have not changed significantly between the source image and the target image, indicating that the camera has moved leftward to capture the image. The left side of the chessboard and the left chair are more visible in the target image, which supports this conclusion.",None
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,1,rightward,"The target image appears to be a leftward rotation of the source image. This is evident from the positioning of the objects and the layout of the counter in the target image, which matches the layout in the source image but with a leftward shift. The left side of the counter in the source image is now the right side in the target image, and vice versa. The overall perspective and angle of the camera remain consistent, indicating a leftward rotation.",None
stairs,seq-06,000375-000411,phi,leftward,15.298887,3,leftward,"The source image shows a partial view of a staircase, while the target image shows a full view of the same staircase. This indicates that the camera has moved to the right to capture the entire staircase in the target image. Therefore, the main camera movement is from left to right, which corresponds to a rightward rotation.",None
office,seq-09,000160-000193,phi,leftward,15.206562,3,leftward,"The target image is a clearer and more detailed version of the source image. The camera has moved leftward to capture a wider view of the room, allowing for more objects to be visible and in focus. The leftward movement of the camera has resulted in a more comprehensive view of the room, including the desk, chair, and other items that were not clearly visible in the source image.",None
pumpkin,seq-03,000187-000198,phi,leftward,15.474354,2,leftward,"The source image shows a kitchen with a blue sofa on the left side, while the target image shows the same kitchen but with the blue sofa now on the right side. This indicates that the camera has rotated 180 degrees, which is equivalent to a leftward rotation. Therefore, the main camera movement from the source image to the target image is leftward.",None
pumpkin,seq-06,000456-000474,phi,leftward,15.089308,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the kitchen. The blue sofa and the red cabinets are aligned in the same direction in both images, indicating that the camera has rotated leftward.",None
pumpkin,seq-06,000922-000950,phi,leftward,15.582437,1,leftward,"The sink and the counter in the source image are positioned to the left, while in the target image, they are positioned to the right. This indicates that the camera has moved to the right to capture the target image.",None
pumpkin,seq-08,000966-000976,phi,leftward,15.033759,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the red cabinets and the ceiling tiles, which are aligned in the same direction in both images. The leftward rotation has caused the right side of the image to be more visible in the target image compared to the source image.",None
pumpkin,seq-01,000215-000255,phi,leftward,15.244855,2,leftward,"The left side of the image is more visible in the target image compared to the source image, indicating a leftward rotation of the camera.",None
redkitchen,seq-14,000740-000775,phi,leftward,16.612008,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The objects on the counter appear to be rotated to the left, and the wall tiles and outlet positions also indicate a leftward rotation.",None
office,seq-09,000646-000656,phi,rightward,16.602234,3,leftward,"The image is blurry and it is difficult to determine the exact camera movement. However, the overall scene appears to be the same, with the chair and desk in the same position. This suggests that there was no significant camera movement, and the image was likely taken with a slight leftward rotation.",None
office,seq-10,000038-000059,phi,rightward,15.373692,2,leftward,"The source image shows a clearer and more detailed view of the room, while the target image is blurry and lacks detail. This suggests that the camera moved leftward to capture the source image, resulting in the loss of detail in the target image due to the motion blur.",None
pumpkin,seq-03,000198-000207,phi,leftward,15.906826,2,leftward,"The image appears to be taken from a different angle, with the camera positioned closer to the couch and the countertop in the background. This suggests that the camera has moved to the left, allowing for a closer view of the couch and the countertop.",None
redkitchen,seq-01,000140-000168,phi,rightward,15.48627,2,leftward,"The source image is blurry and has a lot of noise, making it difficult to determine the exact details of the scene. However, by comparing the two images, it appears that the camera has moved to the left, as the left side of the image in the target image is more in focus and has less noise compared to the source image. Additionally, the right side of the image in the target image is more blurry and has more noise compared to the source image. Therefore, it can be inferred that the camera has moved to the left from the source image to the target image.",None
office,seq-08,000091-000101,phi,rightward,16.095312,3,leftward,"The source image shows a clearer and more detailed view of the room, while the target image is blurry and lacks detail. This suggests that the camera moved in a direction that caused the blurriness, which is likely to be a leftward rotation or a rightward rotation. However, since the source image is clearer, it is more likely that the camera moved leftward to capture the target image. Therefore, the main camera movement is likely to be leftward.",None
office,seq-09,000438-000457,phi,rightward,17.077953,2,rightward,"The target image is a rightward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the right in the target image compared to the source image. Additionally, the monitor and the keyboard are also rotated to the right in the target image. Therefore, the main camera movement from the source image to the target image is a rightward rotation.",None
office,seq-03,000775-000800,phi,leftward,15.36707,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects in the image, such as the chair and the backpack, which appear to be in a different orientation in the target image compared to the source image. Additionally, the window and the desk in the background have also shifted to the left, further indicating a leftward rotation.",None
pumpkin,seq-03,000162-000187,phi,leftward,15.021268,2,leftward,"The image is blurry, but it appears that the camera has moved to the left, as the left side of the image is more in focus compared to the right side. This suggests that the camera has moved to the left during the transition from the source image to the target image.",None
pumpkin,seq-01,000644-000663,phi,rightward,15.347003,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the labels on the cabinets, which have shifted to the left in the target image compared to the source image. The leftward rotation has also caused the text on the wall to be more aligned with the left edge of the image in the target image, whereas in the source image, it is more centered.",None
office,seq-08,000408-000423,phi,rightward,15.434366,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective. The chair and the desk in the source image are now on the right side in the target image, and the window and the reflection of the person in the mirror have shifted to the left side in the target image. This indicates a leftward rotation of the camera.",None
office,seq-09,000738-000746,phi,rightward,17.407764,3,leftward,"The source image is blurry and lacks clear details, making it difficult to accurately assess the camera movement. However, the presence of motion blur and the lack of sharpness in the image suggest that the camera may have moved during the capture of the image. The target image, while clearer, still shows some motion blur, indicating that the camera may have moved during the capture of the image as well. Therefore, it is not possible to definitively determine the camera movement from the source image to the target image.",None
office,seq-08,000423-000440,phi,rightward,15.676126,1,rightward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the person in the image. The person's head and the objects on the desk have shifted to the left, indicating a leftward rotation.",None
office,seq-03,000845-000860,phi,rightward,15.373632,2,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right side of the desk. This suggests that the camera has moved to the right during the transition from the source image to the target image.",None
chess,seq-01,000771-000833,phi,rightward,15.492773,1,rightward,"The target image is taken from a slightly different angle compared to the source image, with the camera having moved to the right. This can be inferred from the position of the chair and the books on the shelf, which appear to be more to the right in the target image than in the source image.",None
pumpkin,seq-03,000848-000875,phi,rightward,15.694296,1,leftward,"The position of the objects in the image has changed from the source image to the target image. The blue couch has moved to the right, and the green apple has moved to the left. This indicates that the camera has moved to the left to capture the target image.",None
heads,seq-01,000600-000631,phi,rightward,15.701038,2,rightward,"The target image is a rightward rotation of the source image. This can be inferred from the position of the keyboard and the cables, which are now on the right side of the image in the target image compared to the left side in the source image. Additionally, the monitor and the desk appear to have shifted to the right as well.",None
pumpkin,seq-01,000255-000279,phi,leftward,15.297641,1,leftward,"The left side of the image is more visible in the target image compared to the source image, indicating a leftward rotation of the camera.",None
office,seq-09,000378-000397,phi,leftward,15.134495,3,rightward,"The target image is a zoomed-in version of the source image, focusing on the chair and the desk area. This indicates that the camera has moved closer to the subject, which is consistent with a rightward rotation. There is no evidence of a leftward rotation as the source image is not visible in the target image.",None
redkitchen,seq-14,000268-000292,phi,leftward,16.074623,1,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The table and chairs are aligned in the same direction, and the shelves and counters have shifted to the left, indicating a leftward rotation.",None
office,seq-10,000288-000308,phi,rightward,16.571165,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The desk and the chair in the source image are positioned to the right, but in the target image, they are on the left side. The window and the picture on the wall also appear to be rotated to the left. Therefore, the main camera movement from the source image to the target image is a leftward rotation.",None
office,seq-03,000752-000775,phi,leftward,15.177776,0,leftward,"The source image shows a room with a chair, a desk, and a computer monitor. The target image shows the same room but with a different angle, making the chair and desk appear more to the left. This indicates that the camera has moved to the left to capture the target image.",None
redkitchen,seq-05,000134-000257,phi,leftward,23.827196,2,leftward,"The source image is slightly tilted to the left, and the target image is slightly tilted to the right. This suggests that the camera has moved from a leftward rotation to a rightward rotation to capture the target image.",None
office,seq-10,000240-000252,phi,leftward,15.796282,0,leftward,"The source image shows a room with a desk and a chair, while the target image shows the same room with the desk and chair, but the angle of the room is different. The desk and chair are still in the same position, but the perspective of the room has changed. This suggests that the camera has moved to the left, as the left side of the room is now more visible in the target image. Therefore, the main camera movement from the source image to the target image is leftward rotation.",None
office,seq-08,000063-000078,phi,rightward,15.867359,3,leftward,"The source image is more blurry and the objects are not as clear as in the target image. This suggests that the camera moved to the right to capture the target image, resulting in a clearer and more focused image.",None
pumpkin,seq-03,000875-000899,phi,rightward,15.96507,2,leftward,"The image is blurry, but it appears that the camera has moved to the left, as the left side of the image is more in focus compared to the right side. This suggests that the camera has moved to the left during the transition from the source image to the target image.",None
office,seq-09,000224-000326,phi,leftward,56.783794,3,rightward,"The source image shows a room with a desk and a chair, while the target image shows a different angle of the same room with the same desk and chair. The camera movement appears to be rightward rotation, as the angle of the room has changed but the position of the desk and chair remains the same.",None
redkitchen,seq-05,000510-000566,phi,leftward,29.635622,1,leftward,"The target image appears to be a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The red shelf and the TV screen are aligned in the same direction in both images, and the objects on the shelf are also aligned in the same direction. The only difference is the perspective, which suggests a leftward rotation of the camera.",None
pumpkin,seq-08,000976-000991,phi,leftward,16.488632,0,leftward,"The source image shows a kitchen with red cabinets and a countertop with various items on it. The target image appears to be a closer view of the same kitchen, with the red cabinets and countertop still visible. The camera seems to have moved closer to the countertop, providing a more detailed view of the items on it. This suggests that the main camera movement from the source image to the target image is a leftward rotation.",None
redkitchen,seq-06,000214-000241,phi,leftward,15.083631,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The chair and the table have shifted to the left, and the counter and the wall tiles have also moved to the left. The overall perspective of the room has changed, indicating a leftward rotation.",None
redkitchen,seq-05,000000-000054,phi,leftward,15.376207,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The shelf and the objects on it are aligned in a way that suggests a leftward rotation, and the angle of the television screen also supports this observation.",None
