scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
office,seq-03,000776-000806,phi,leftward,19.150736,left,leftward,"The source image shows a wider view of the room, while the target image is a closer view of the same room. The camera appears to have moved closer to the desk and the chair, resulting in a leftward rotation of the camera to capture the image.",None
office,seq-03,000760-000787,phi,leftward,16.504665,left,leftward,"The source image shows a wider view of the room, while the target image is a closer view of the same room. The camera appears to have moved closer to the desk and the objects on it, such as the chair and the backpack, indicating a leftward rotation from the source image to the target image.",None
pumpkin,seq-06,000899-000943,phi,leftward,26.642732,left,leftward,"The source image shows a kitchen with red cabinets and a countertop with a sink. The target image appears to be taken from a different angle, showing more of the red cabinets and less of the countertop. This suggests that the camera moved to the left to capture the target image.",None
pumpkin,seq-06,000875-000904,phi,leftward,22.523666,left,leftward,"The source image shows a vending machine on the right side, while the target image shows the vending machine on the left side. This indicates that the camera has moved to the left to capture the target image.",None
pumpkin,seq-06,000934-000961,phi,leftward,16.067464,right,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right side of the counter. This suggests a rightward rotation of the camera during the transition from the source to the target image.",None
chess,seq-01,000775-000832,phi,rightward,15.533438,left,leftward,"The target image is a result of a leftward rotation of the source image. This can be inferred from the position of the bookshelf and the desk, which are rotated to the left in the target image compared to the source image. The angle of the desk and the position of the books on the shelf also support this observation.",None
pumpkin,seq-01,000617-000677,phi,rightward,32.276449,left,leftward,"The source image shows a wider view of the kitchen, while the target image is a closer view of the same kitchen. The camera appears to have moved closer to the sink, capturing a more detailed view of the area. This suggests a leftward rotation of the camera.",None
pumpkin,seq-06,000922-000957,phi,leftward,19.768623,left,leftward,"The source image shows a kitchen with red cabinets and a sink, while the target image shows a similar kitchen but with a different angle and perspective. The camera appears to have moved to the left, as the left side of the kitchen is more visible in the target image compared to the source image. Additionally, the angle of the camera has changed, making the left side of the kitchen more prominent in the target image.",None
pumpkin,seq-06,000892-000919,phi,leftward,18.063409,left,leftward,"The source image shows a wider view of the kitchen, while the target image is a closer view of the same kitchen. This suggests that the camera has moved leftward to focus on a specific area of the kitchen, likely the sink and countertop.",None
office,seq-03,000740-000773,phi,leftward,22.323526,left,leftward,"The source image shows a wider view of the room, while the target image is a closer view of the same room. The camera appears to have moved closer to the desk and the computer, indicating a leftward rotation from the source image to the target image.",None
