scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-06,000875-000904,phi,leftward,22.523666,1,leftward,"The position of the vending machine in the source image is slightly to the left compared to the target image. This indicates that the camera has rotated to the right to capture the image. Additionally, the red cabinets in the background have shifted to the right, further supporting the conclusion that the camera has rotated to the right.",None
office,seq-03,000770-000807,phi,leftward,22.80955,1,leftward,"In the source image, the chair is positioned to the left side of the desk, while in the target image, the chair is positioned to the right side of the desk. This indicates that the camera has rotated to the right to capture the target image. Additionally, the backpack in the source image is on the right side, while in the target image, it is on the left side, further supporting the conclusion that the camera has rotated to the right.",None
office,seq-03,000720-000750,phi,leftward,21.403525,1,leftward,"In the source image, the computer monitor is positioned to the right side of the desk, while in the target image, the monitor is more centrally located. This suggests that the camera has rotated to the left, allowing for a more central view of the desk and its contents.",None
redkitchen,seq-14,000697-000724,phi,leftward,26.106739,1,leftward,"The source image shows a blurry view of a counter with some objects on it, while the target image is clearer and shows the same counter with objects in a different position. The objects appear to have moved to the right, indicating a leftward rotation of the camera to capture the target image.",None
office,seq-03,000876-000909,phi,rightward,17.459608,1,leftward,"The desk and the chair in the source image are positioned to the left, while in the target image, they are positioned to the right. This indicates that the camera has rotated to the right to capture the target image. Additionally, the backpack and the window remain in the same position, further supporting the rightward rotation.",None
fire,seq-02,000035-000184,phi,rightward,21.878237,1,leftward,"The yellow caution sign in the foreground has moved from the left side of the source image to the right side of the target image, indicating a leftward rotation of the camera. Additionally, the position of the fire extinguisher and the red fire safety board have shifted slightly to the right, supporting the conclusion of a leftward camera movement.",None
chess,seq-01,000795-000838,phi,rightward,16.079587,1,leftward,"The position of the bookshelf and the objects on it have shifted to the right in the target image compared to the source image, indicating a leftward rotation of the camera.",None
office,seq-07,000182-000218,phi,leftward,20.6164,1,leftward,The source image shows a room with a desk and a poster on the wall. The target image shows the same room but the poster is now facing the opposite direction. This indicates that the camera has rotated to the left to view the poster from a different angle.,None
pumpkin,seq-01,000684-000727,phi,rightward,22.74185,1,leftward,"The position of the red cabinets and the sink in the source image is consistent with their position in the target image, indicating that the camera has rotated to the right. The left side of the source image is now the right side of the target image, and vice versa. The presence of the same objects in the same positions suggests that the camera has rotated rather than moved left or right.",None
pumpkin,seq-06,000860-000895,phi,leftward,33.106083,1,leftward,"In the source image, the vending machine is positioned to the left side of the frame, while in the target image, it is more centrally located. This suggests that the camera has rotated to the right to capture the target image, allowing for a more central view of the vending machine.",None
