scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,3,rightward,"The target image is a rightward rotation of the source image. This can be inferred from the position of the objects and their orientation. The red cabinets and the green appliance are now on the right side of the image, and the white appliance is now on the left side of the image. The overall layout and orientation of the objects have been rotated 90 degrees clockwise.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,3,rightward,"The target image is a cropped version of the source image, focusing on a different section of the kitchen. The left side of the target image is more zoomed in compared to the source image, and the right side of the target image is less zoomed in compared to the source image. This suggests that the camera has moved to the right, capturing a closer view of the kitchen counter and items on it, while also moving away from the left side of the image, which is now more distant. Therefore, the main camera movement is a rightward rotation.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,2,leftward,"The sign 'BEING HUMAN' is rotated to a more vertical position in the target image compared to the source image, indicating a leftward rotation of the camera.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,3,rightward,"The staircase in both images appears to be the same, with no noticeable changes in the position or orientation of the camera. The walls and the staircase steps are aligned in the same manner in both images, indicating that the camera has not moved significantly. Therefore, the main camera movement from the source image to the target image is likely to be no movement, which corresponds to option 2.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a blurry state to a clear state. This suggests that the camera moved leftward to capture the target image.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The target image is rotated to the left compared to the source image. The position of the desk and the chair have changed, indicating a leftward rotation of the camera.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chessboard and the chair, which are rotated to the left in the target image compared to the source image.",None
office,seq-08,000710-000724,phi,rightward,17.975933,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chair and the desk, which are both rotated to the left compared to the source image. Additionally, the angle of the window and the position of the shelves on the wall have also changed, indicating a leftward rotation.",None
office,seq-04,000691-000717,phi,rightward,15.378286,3,leftward,"The position of the objects in the image has changed from the source image to the target image. The chair has moved to the left, the papers have moved to the right, and the backpack has moved to the right. This indicates that the camera has moved to the left, causing the objects to appear in different positions. Therefore, the main camera movement is a leftward rotation.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,2,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the room. The red cabinets and the counter are aligned in the same direction, and the angle of the camera has changed to capture the left side of the room in the target image.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,rightward,"The target image is rotated to the right compared to the source image. This can be inferred from the position of the chair and the desk, which are both rotated in the same direction. The right side of the chair and desk in the source image is now on the left side in the target image, and vice versa. This indicates a rightward rotation of the camera.",None
office,seq-07,000236-000279,phi,leftward,27.607591,3,rightward,"The target image appears to be a rightward rotation of the source image. This is evident from the position of the objects and the layout of the room. The desk and chair in the source image are positioned to the left, but in the target image, they are on the right. The window and the wall art also appear to be rotated to the right. Therefore, the main camera movement from the source image to the target image is a rightward rotation.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the layout of the counter and cabinets. The left side of the counter in the source image is now on the right side in the target image, and vice versa. The chairs and the table remain in the same relative positions, but their orientation has changed due to the rotation.",None
office,seq-07,000145-000189,phi,leftward,21.816486,3,leftward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The desk and chair in the source image are now on the right side in the target image, and the wall and bookshelf are now on the left side. The rotation direction is consistent with the camera moving from the right to the left side of the room.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved to the right to capture the target image. The left side of the target image is more in focus than the right side, which is consistent with a leftward rotation of the camera.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,rightward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the objects and the perspective of the room. The chair and the desk in the source image are positioned to the right, but in the target image, they are on the left side. This indicates that the camera has moved to the left, resulting in a leftward rotation of the scene.",None
