scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,3,rightward,"The target image appears to be a rightward rotation of the source image. This is evident from the orientation of the objects and the layout of the kitchen. The red cabinets and the green appliance are positioned in a way that suggests a rotation to the right. Additionally, the lighting and reflections on the surfaces indicate a change in perspective that aligns with a rightward rotation.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,1,no movement,"The source image and the target image appear to be taken from the same angle and perspective, with no noticeable changes in the camera's position relative to the objects in the room. The arrangement of the objects, such as the cabinets, sink, and trash bins, remains consistent between the two images, indicating that the camera did not move significantly from its original position. Therefore, the main camera movement from the source image to the target image is likely to be no movement.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,3,rightward,"The target image appears to be a rotated version of the source image, with the camera moving to the right, causing the objects to appear in a different orientation. The sign ""BEING HUMAN"" is tilted to the right, and the red counter is also rotated. This suggests that the camera has moved to the right, resulting in the rightward rotation of the image.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,3,rightward,"The staircase in both images appears to be the same, with no noticeable changes in the camera's position relative to the staircase. The lighting and perspective are consistent, indicating that the camera has not moved significantly. Therefore, the main camera movement from the source image to the target image is likely no movement.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a closer position to a farther position, which is consistent with a leftward rotation.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the perspective. The chair and desk in the source image are more to the right, while in the target image, they are more to the left. The same applies to the shelves and the window. The overall layout and orientation of the objects suggest a leftward rotation.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,1,rightward,"The target image appears to be a rightward rotation of the source image. This is evident from the orientation of the chessboard and the position of the chess pieces, which seem to have shifted to the right side of the table in the target image compared to the source image.",None
office,seq-08,000710-000724,phi,rightward,17.975933,1,rightward,"The target image appears to be a rightward rotation of the source image. This is evident from the position of the chair and desk, which are rotated to the right in the target image compared to the source image. Additionally, the angle of the light source and the shadows on the floor also suggest a rightward rotation.",None
office,seq-04,000691-000717,phi,rightward,15.378286,1,rightward,"The target image appears to be a rightward rotation of the source image. This is evident from the position of the objects and the orientation of the room. The mannequins and the desk setup have shifted to the right, and the angle of the window has changed, indicating a rotation rather than a translation or a different perspective angle.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,rightward,"The source image is taken from a slightly different angle compared to the target image. The perspective of the red counter and the items on it have shifted, indicating a rightward rotation of the camera. The left side of the counter and the items on it are more visible in the target image, suggesting that the camera has moved to the right side of the original position.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,rightward,"The target image is a leftward rotation of the source image. This can be inferred from the position of the chair and the desk, which are rotated to the left in the target image compared to the source image. Additionally, the shoes and the floor tiles appear to be in a different position, further indicating a leftward rotation.",None
office,seq-07,000236-000279,phi,leftward,27.607591,3,rightward,"The source image shows a room with a desk and a chair, while the target image shows the same room but with a different angle. The desk and chair are still in the same position, but the perspective has changed. This suggests that the camera has moved to a different angle, but not rotated left or right. Therefore, the main camera movement is no movement.",None
