scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the kitchen, which seem to have shifted to the left in the target image compared to the source image.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,1,leftward,"The target image appears to be a rotated version of the source image, with the camera moving to the right, resulting in the appearance of the red cabinets being more prominent in the frame. The position of the objects and the layout of the room remain consistent, indicating a rotation rather than a translation or a different perspective.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,1,leftward,"The source image shows a sign with the text 'BEING HUMAN' on a red shelf, while the target image shows the same sign but with a different perspective, indicating a rotation. The sign's position and orientation have changed, suggesting that the camera has rotated to the right to capture the target image.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,2,rightward,"The target image is a rotated version of the source image. The camera appears to have rotated 90 degrees clockwise, resulting in the staircase and railing appearing upside down in the target image compared to the source image. This indicates a rightward rotation of the camera.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a stationary position to the position of the target image. The left side of the source image is more blurred than the right side, suggesting that the camera moved to the right to capture the target image. Therefore, the main camera movement is a leftward rotation.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the perspective. The chair and desk in the source image are more to the right, while in the target image, they are more to the left. The same applies to the shelves and the window. The overall layout and orientation of the objects suggest a leftward rotation.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the chessboard and the chair, which are rotated to the left in the target image compared to the source image. The camera movement is consistent with this rotation, as the perspective of the room and objects has shifted to the left.",None
office,seq-08,000710-000724,phi,rightward,17.975933,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the chair and desk, which are rotated to the left in the target image compared to the source image. Additionally, the angle of the window and the position of the shelves on the wall also suggest a leftward rotation.",None
office,seq-04,000691-000717,phi,rightward,15.378286,1,leftward,"The position of the objects in the room appears to have shifted slightly to the right in the target image compared to the source image. This suggests that the camera has moved to the right, causing the objects to appear in a new position. The mannequins and the desk are the main objects that have moved, indicating a rightward rotation of the camera.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,leftward,"The source image shows a counter with a book on it, and the target image shows the same counter but the book is now on the right side. This indicates that the camera has rotated to the right to capture the target image.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the chair and the desk, which are rotated to the left in the target image compared to the source image. Additionally, the shoes and the carpet pattern appear to be aligned in a way that suggests a leftward rotation.",None
office,seq-07,000236-000279,phi,leftward,27.607591,1,leftward,"The source image shows a room with a desk and a chair, while the target image shows the same room but with the desk and chair appearing to be rotated to the right. This suggests that the camera has moved to the right, causing the objects to appear in a different position relative to the camera.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the room. The chairs and tables have shifted to the left, and the overall perspective of the room has changed, indicating a rotation rather than a translation or a different camera angle.",None
office,seq-07,000145-000189,phi,leftward,21.816486,1,leftward,"The source image shows a room with a desk and a bookshelf, while the target image shows the same room but with the desk and bookshelf appearing to be rotated to the right. This suggests that the camera has moved to the right, causing the objects to appear rotated in the target image.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,leftward,"The source image is blurry and the target image is clearer, indicating that the camera moved to the right to capture the target image. The left side of the target image is more in focus than the left side of the source image, suggesting a rightward rotation of the camera.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects, such as the chair and the computer desk, which seem to have shifted to the left in the target image compared to the source image. Additionally, the angle of the light source and the shadows cast by the objects also suggest a leftward rotation.",None
chess,seq-02,000690-000707,phi,rightward,15.004958,2,rightward,"The target image appears to be a rotated version of the source image, with the camera moving to the right, resulting in the chessboard and pieces being in a different orientation compared to the source image. This suggests a rightward rotation of the camera.",None
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,1,leftward,"The source image is blurry and lacks clear details, making it difficult to accurately assess the camera movement. However, the target image appears to be a clearer and more focused version of the same scene, suggesting that the camera may have rotated to the right to capture the image. The presence of the same objects and their relative positions in both images supports this inference.",None
stairs,seq-06,000375-000411,phi,leftward,15.298887,1,leftward,"The target image appears to be a leftward rotation of the source image. This is inferred from the position of the objects in the image, where the objects on the right side of the source image are now on the left side of the target image. The camera movement is consistent with a leftward rotation, as the objects maintain their relative positions but are now on the opposite side of the frame.",None
office,seq-09,000160-000193,phi,leftward,15.206562,1,leftward,"The source image is blurry and the target image is clear, indicating that the camera moved from a stationary position to the position of the target image. The left side of the source image is more blurred than the right side, suggesting that the camera moved to the right to capture the target image. Therefore, the main camera movement is a leftward rotation.",None
