scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the layout of the kitchen, which seem to have been rotated 90 degrees counterclockwise. The red cabinets and the green appliance are now on the left side of the image, whereas in the source image, they were on the right side.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,1,leftward,"The target image appears to be a rotated version of the source image, with the camera angle shifted to the right. This can be inferred from the position of the objects and the layout of the room, which seem to be aligned differently in the target image compared to the source image. The red cabinets and the blue couch are positioned in a way that suggests a rightward rotation of the camera.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,1,leftward,"The source image shows a sign with the text 'BEING HUMAN' on a red shelf, while the target image shows the same sign but with a different perspective, indicating a leftward rotation of the camera. The sign's position and angle have changed, suggesting that the camera moved to the left to capture the target image.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,1,leftward,"The camera appears to have rotated to the left, as the staircase and railing are now more aligned with the left side of the image, and the door handle is now more visible on the left side of the image.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clearer, indicating that the camera moved from a position with a lower resolution to a position with a higher resolution. This suggests that the camera moved to the right, as the right side of the source image is more in focus in the target image. Therefore, the main camera movement is a leftward rotation.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The source image shows a room with a chair and a desk, while the target image shows a different angle of the same room with the chair and desk. The camera appears to have rotated to the right to capture the target image, as the perspective of the room has changed.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the chessboard and the chair, which are rotated to the left in the target image compared to the source image. The camera movement seems to be around the table, capturing the scene from a different angle, resulting in the leftward rotation effect.",None
office,seq-08,000710-000724,phi,rightward,17.975933,1,leftward,"The source image shows a room with a chair and a desk, while the target image appears to be a blurred version of the same room. The blurring effect suggests that the camera moved to the right, causing the objects in the room to appear out of focus. This indicates a rightward rotation of the camera.",None
office,seq-04,000691-000717,phi,rightward,15.378286,1,leftward,"The position of the objects in the room appears to have shifted slightly to the right in the target image compared to the source image. This suggests that the camera has moved to the right, causing the objects to appear in a new position. The mannequins and the desk are the main objects that have moved, indicating a leftward rotation of the camera.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,leftward,"The source image shows a counter with a book on it, and the target image shows the same counter but with the book now on the right side. This indicates that the camera has rotated to the right to capture the target image.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,leftward,"The source image shows a clear view of the office chair and the desk, while the target image is blurry and distorted. This suggests that the camera moved to the left and rotated to capture the image, causing the distortion and blurriness in the target image.",None
office,seq-07,000236-000279,phi,leftward,27.607591,1,leftward,"The source image shows a room with a desk and a chair, while the target image shows the same room but with a different angle, making it appear as if the camera has rotated to the right. The desk and chair are still in the same position, but the perspective has changed, indicating a rightward rotation.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,1,leftward,"The source image shows a counter with a chair facing the camera, while the target image shows the same counter but with the chair facing away from the camera. This indicates a leftward rotation of the camera.",None
office,seq-07,000145-000189,phi,leftward,21.816486,1,leftward,"The source image shows a room with a desk and a bookshelf, while the target image shows the same room but with the desk and bookshelf appearing to be rotated to the right. This suggests that the camera has moved from a leftward orientation to a rightward orientation, resulting in a leftward rotation of the scene.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,leftward,"The source image is blurry and the target image is clearer, indicating that the camera moved to the right to capture the target image. The left side of the target image is more in focus than the left side of the source image, suggesting a rightward rotation of the camera.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,leftward,"The target image appears to be a leftward rotation of the source image. This is evident from the position of the objects and the camera angle. The chair and the desk in the source image are positioned in a way that, when the image is rotated leftward, they align with the same position in the target image. The same applies to the shoes and the trash can. The overall layout and perspective of the room remain consistent, indicating a leftward rotation.",None
chess,seq-02,000690-000707,phi,rightward,15.004958,1,leftward,"The position of the chessboard and the pieces on it have not changed significantly between the two images. However, the angle of the camera seems to have shifted slightly to the right, as the right side of the chessboard and the pieces on it are more visible in the target image compared to the source image. This suggests a rightward rotation of the camera.",None
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,1,leftward,"The source image is blurry and lacks clear details, making it difficult to accurately assess the camera movement. However, the target image appears to be a clearer and more focused version of the same scene, suggesting that the camera may have moved to the right to capture the image. The presence of the same objects and their relative positions in both images supports this inference.",None
stairs,seq-06,000375-000411,phi,leftward,15.298887,1,leftward,"The source image shows a partial view of a staircase, while the target image shows a full view of the same staircase. This suggests that the camera has rotated to the right to capture the entire staircase in the target image.",None
